society_id,orig_org_id,base_org_id,suffix
TINY-1AD,102-POL-SUPPLYCO,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,106-TCBN,106-TCBN,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,110-POL-SUPPLYCO,110-POL-SUPPLYCO,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD,123-MSB,123-MSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD,1-35-ARBN,1-35-ARBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD,16-CSG,16-CSG,5-CORPS.ARMY.MIL
TINY-1AD,1-6-INFBN,1-6-INFBN,2-BDE.1-AD.ARMY.MIL
TINY-1AD,18-MAINTBN,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD,1-AD,1-AD,ARMY.MIL
TINY-1AD,200-MMC,200-MMC,21-TSC.ARMY.MIL
TINY-1AD,21-TSC-HQ,21-TSC-HQ,ARMY.MIL
TINY-1AD,226-MAINTCO,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,227-SUPPLYCO,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL
TINY-1AD,2-BDE-1-AD,2-BDE,1-AD.ARMY.MIL
TINY-1AD,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL
TINY-1AD,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL
TINY-1AD,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD,47-FSB,47-FSB,DISCOM.1-AD.ARMY.MIL
TINY-1AD,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL
TINY-1AD,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD,592-ORDCO,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL
TINY-1AD,5-CORPS,5-CORPS,ARMY.MIL
TINY-1AD,632-MAINTCO,632-MAINTCO,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL
TINY-1AD,71-MAINTBN,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD,7-CSG,7-CSG,5-CORPS.ARMY.MIL
TINY-1AD,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL
TINY-1AD,AWR-2,AWR-2,21-TSC.ARMY.MIL
TINY-1AD,CONUSGround,CONUSGround,TRANSCOM.MIL
TINY-1AD,DISCOM-1-AD,DISCOM,1-AD.ARMY.MIL
TINY-1AD,DLAHQ,DLAHQ,MIL
TINY-1AD,GlobalAir,AMC,TRANSCOM.MIL
TINY-1AD,GlobalSea,MSC,TRANSCOM.MIL
TINY-1AD,HNS,HNS,MIL
TINY-1AD,NCA,OSD,GOV
TINY-1AD,OSC,OSC,MIL
TINY-1AD,PlanePacker,PlanePacker,TRANSCOM.MIL
TINY-1AD,ShipPacker,ShipPacker,TRANSCOM.MIL
TINY-1AD,TheaterGround,TheaterGround,TRANSCOM.MIL
TINY-1AD,TRANSCOM,TRANSCOM,MIL
TINY-1AD,USAEUR,USAEUR,MIL
TINY-1AD,USEUCOM,USEUCOM,MIL
